filename_i,date,citedby_count
254,2017-12-31,29
255,2017-12-31,7
256,2017-12-31,47
257,2017-12-31,28
258,2017-12-31,232
259,2017-12-31,94
260,2017-12-31,23
261,2017-12-31,106
262,2017-12-31,3
263,2017-12-31,23
264,2017-12-31,66
265,2017-12-31,20
266,2017-12-31,339
267,2017-12-31,5
268,2017-12-31,28
269,2017-12-31,4
270,2017-12-31,23
271,2017-12-31,75
272,2017-12-31,38
273,2017-12-31,25
274,2017-12-31,252
275,2017-12-31,27
276,2017-12-31,21
277,2017-12-31,132
278,2017-12-31,27
279,2017-12-31,74
280,2017-12-31,35
281,2017-12-31,42
282,2017-12-31,19
283,2017-12-31,50
284,2017-12-31,53
285,2017-12-31,54
286,2017-12-31,39
287,2017-12-31,176
288,2017-12-31,41
289,2017-12-31,135
290,2017-12-31,14
291,2017-12-31,52
292,2017-12-31,8
293,2017-12-31,15
294,2017-12-31,7
295,2017-12-31,47
296,2017-12-31,67
297,2017-12-31,27
298,2017-12-31,37
299,2017-12-31,45
300,2017-12-31,28
301,2017-12-31,0
302,2017-12-31,1
303,2017-12-31,1
304,2017-12-31,1
305,2017-12-31,1
306,2017-12-31,4
307,2017-12-31,0
308,2017-12-31,0
309,2017-12-31,0
310,2017-12-31,1
311,2017-12-31,5
312,2017-12-31,14
313,2017-12-31,3
314,2017-12-31,0
315,2017-12-31,6
316,2017-12-31,11
317,2017-12-31,1
318,2017-12-31,2
319,2017-12-31,1
320,2017-12-31,2
321,2017-12-31,2
322,2017-12-31,0
323,2017-12-31,1
324,2017-12-31,0
325,2017-12-31,0
326,2017-12-31,14
327,2017-12-31,29
328,2017-12-31,47
329,2017-12-31,161
330,2017-12-31,72
331,2017-12-31,19
332,2017-12-31,14
333,2017-12-31,32
334,2017-12-31,22
335,2017-12-31,35
336,2017-12-31,0
337,2017-12-31,28
338,2017-12-31,51
339,2017-12-31,34
340,2017-12-31,0
341,2017-12-31,44
342,2017-12-31,56
343,2017-12-31,193
344,2017-12-31,13
345,2017-12-31,15
346,2017-12-31,8
347,2017-12-31,22
348,2017-12-31,19
349,2017-12-31,82
350,2017-12-31,26
351,2017-12-31,100
352,2017-12-31,73
353,2017-12-31,56
354,2017-12-31,5
355,2017-12-31,42
356,2017-12-31,9
357,2017-12-31,18
358,2017-12-31,16
359,2017-12-31,18
360,2017-12-31,6
361,2017-12-31,28
362,2017-12-31,49
363,2017-12-31,152
364,2017-12-31,21
365,2017-12-31,82
366,2017-12-31,4
367,2017-12-31,34
368,2017-12-31,17
369,2017-12-31,72
370,2017-12-31,23
371,2017-12-31,41
372,2017-12-31,73
373,2017-12-31,8
374,2017-12-31,173
375,2017-12-31,11
376,2017-12-31,7
377,2017-12-31,136
378,2017-12-31,17
379,2017-12-31,57
380,2017-12-31,19
381,2017-12-31,78
382,2017-12-31,73
383,2017-12-31,216
384,2017-12-31,33
385,2017-12-31,6
386,2017-12-31,75
387,2017-12-31,46
388,2017-12-31,188
389,2017-12-31,52
390,2017-12-31,18
391,2017-12-31,25
392,2017-12-31,35
393,2017-12-31,27
394,2017-12-31,87
395,2017-12-31,15
396,2017-12-31,10
397,2017-12-31,23
398,2017-12-31,35
399,2017-12-31,163
400,2017-12-31,93
401,2017-12-31,104
402,2017-12-31,8
403,2017-12-31,33
404,2017-12-31,21
405,2017-12-31,40
406,2017-12-31,257
407,2017-12-31,57
408,2017-12-31,127
409,2017-12-31,13
410,2017-12-31,44
411,2017-12-31,94
412,2017-12-31,5
413,2017-12-31,17
414,2017-12-31,79
415,2017-12-31,19
416,2017-12-31,33
417,2017-12-31,82
418,2017-12-31,7
419,2017-12-31,22
420,2017-12-31,291
421,2017-12-31,23
422,2017-12-31,75
423,2017-12-31,29
424,2017-12-31,49
425,2017-12-31,72
426,2017-12-31,28
427,2017-12-31,24
428,2017-12-31,40
429,2017-12-31,80
430,2017-12-31,74
431,2017-12-31,61
432,2017-12-31,56
433,2017-12-31,48
434,2017-12-31,9
435,2017-12-31,88
436,2017-12-31,13
437,2017-12-31,55
438,2017-12-31,50
439,2017-12-31,83
440,2017-12-31,118
441,2017-12-31,41
442,2017-12-31,38
443,2017-12-31,137
444,2017-12-31,25
445,2017-12-31,18
446,2017-12-31,34
447,2017-12-31,84
448,2017-12-31,22
449,2017-12-31,71
450,2017-12-31,37
451,2017-12-31,111
452,2017-12-31,96
453,2017-12-31,40
454,2017-12-31,5
455,2017-12-31,108
456,2017-12-31,18
457,2017-12-31,97
458,2017-12-31,26
459,2017-12-31,58
460,2017-12-31,52
461,2017-12-31,58
462,2017-12-31,17
463,2017-12-31,16
464,2017-12-31,6
465,2017-12-31,38
466,2017-12-31,12
467,2017-12-31,94
468,2017-12-31,19
469,2017-12-31,489
470,2017-12-31,226
471,2017-12-31,50
472,2017-12-31,392
473,2017-12-31,35
474,2017-12-31,20
475,2017-12-31,40
476,2017-12-31,25
477,2017-12-31,0
478,2017-12-31,80
479,2017-12-31,37
480,2017-12-31,60
481,2017-12-31,41
482,2017-12-31,102
483,2017-12-31,50
484,2017-12-31,128
485,2017-12-31,18
486,2017-12-31,34
487,2017-12-31,42
488,2017-12-31,33
489,2017-12-31,19
490,2017-12-31,40
491,2017-12-31,24
492,2017-12-31,133
493,2017-12-31,38
494,2017-12-31,13
495,2017-12-31,24
496,2017-12-31,141
497,2017-12-31,4
498,2017-12-31,53
499,2017-12-31,63
500,2017-12-31,42
501,2017-12-31,489
502,2017-12-31,115
503,2017-12-31,64
504,2017-12-31,16
505,2017-12-31,73
506,2017-12-31,26
507,2017-12-31,44
508,2017-12-31,31
509,2017-12-31,212
510,2017-12-31,45
511,2017-12-31,15
512,2017-12-31,20
513,2017-12-31,77
514,2017-12-31,70
515,2017-12-31,54
516,2017-12-31,64
517,2017-12-31,51
518,2017-12-31,27
519,2017-12-31,22
520,2017-12-31,27
521,2017-12-31,68
522,2017-12-31,35
523,2017-12-31,38
524,2017-12-31,19
525,2017-12-31,32
526,2017-12-31,35
527,2017-12-31,29
528,2017-12-31,107
529,2017-12-31,33
530,2017-12-31,10
531,2017-12-31,9
532,2017-12-31,105
533,2017-12-31,56
534,2017-12-31,10
535,2017-12-31,13
536,2017-12-31,33
537,2017-12-31,103
538,2017-12-31,273
539,2017-12-31,26
540,2017-12-31,193
541,2017-12-31,1
542,2017-12-31,195
543,2017-12-31,79
544,2017-12-31,528
